type,group,id,display,meaning,examples,stage,L,rationale,syllabus_ref,reviewed,batch
suffix,,en,-en,made of; to make,"wooden, darken",s2e,high,Explicitly listed in Stage 2 as derivational suffix; adds to nouns to form adjectives and adjectives to form verbs,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,er,-er,person who; more,"teacher, taller",s2e,high,Explicitly listed in Stage 1 as derivational suffix (-er person who does the verb) and inflectional suffix (comparative),"NSW DoE Morphemes Suggested Sequence – Derivational & Inflectional Suffixes, Stage 1",,3
suffix,,or,-or,person who,"creator, visitor",s2e,high,"Listed in Stage 1 alongside -er as the Latin variant for person who carries out an action (e.g. create-creator, visit-visitor)","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1",,3
suffix,,est,-est,most,"tallest, happiest",s2e,high,Explicitly listed in Stage 1 as inflectional suffix for superlative,"NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, Stage 1",,3
suffix,,ly,-ly,in a way,"slowly, happily",s2e,high,Explicitly listed in Stage 1 as derivational suffix (nouns to adjectives; adjectives to adverbs); extended in Stage 2,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1",,3
suffix,,ion,-ion,act or result of,"expression, decoration",s2l,high,"Explicitly listed in Stage 2 as derivational suffix (-ion process, state or result; verbs to nouns); extended forms (-tion, -sion, -ation, -ition, -ssion) listed in Stage 3","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,able,-able,able to,"enjoyable, believable",s2l,high,Explicitly listed in Stage 2 as derivational suffix (-able/-ible capable of; verbs to adjectives); -able is the more common form attached to complete root words,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ible,-ible,able to,"horrible, possible",s2l,high,Explicitly listed in Stage 2 alongside -able; -ible generally attaches to incomplete/bound root words (e.g. horr-horrible),"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,y,-y,characterised by,"hairy, sunny",s2e,high,Explicitly listed in Stage 1 as derivational suffix; nouns/verbs to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1",,3
suffix,,ful,-ful,full of,"helpful, careful",s2e,high,Explicitly listed in Stage 1 as derivational suffix; verbs/nouns to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1",,3
suffix,,less,-less,without,"childless, hopeless",s2e,high,Explicitly listed in Stage 2 as derivational suffix; nouns/verbs to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ish,-ish,somewhat; like,"childish, reddish",s2e,high,Explicitly listed in Stage 1 as derivational suffix; nouns/adjectives to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1",,3
suffix,,ness,-ness,state of,"kindness, happiness",s2e,high,Explicitly listed in Stage 2 as derivational suffix; adjectives to nouns,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ment,-ment,result of action,"embarrassment, measurement",s2e,high,Explicitly listed in Stage 2 as derivational suffix; verbs to nouns,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,al,-al,related to,"logical, dismissal",s2l,high,Explicitly listed in Stage 2 as derivational suffix; verbs to nouns and nouns to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ial,-ial,related to,"presidential, racial",s2l,high,"Listed in Stage 2 as variant form of -al (-al, -ial, -ual); nouns to adjectives","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ty,-ty,state or quality,"certainty, liberty",s3e,high,"Listed in Stage 3 as -ity/-ety/-ty variant; adjectives and bound stems to nouns (e.g. certain-certainty, liber-liberty)","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,3
suffix,,ity,-ity,state or quality,"reality, technicality",s3e,high,Explicitly listed in Stage 3 as -ity/-ety/-ty; adjectives to nouns (e.g. real-reality),"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,3
suffix,,ous,-ous,full of,"dangerous, famous",s2l,high,Explicitly listed in Stage 2 as derivational suffix; nouns to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ee,-ee,person who receives,"employee, trainee",s3e,high,Explicitly listed in Stage 3 as derivational suffix; verbs/nouns to nouns denoting recipient of an action,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,3
suffix,,ist,-ist,person who,"finalist, cyclist",s2l,high,Explicitly listed in Stage 2 as derivational suffix; verbs/nouns to nouns or adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,3
suffix,,ance,-ance,state of,"importance, performance",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ence/-ance); adjectives/verbs to nouns,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,3
suffix,,ence,-ence,state of,"difference, clearance",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ence/-ance); adjectives/verbs to nouns,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,3
suffix,,ant,-ant,person or thing that,"consultant, disinfectant",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ant/-ent); verbs to nouns and adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,3
suffix,,ent,-ent,person or thing that,"different, dependent",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ant/-ent); verbs to nouns and adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ate,-ate,to make; to become,"fortunate, hyphenate",s3e,high,"Explicitly listed in Stage 3 as derivational suffix; nouns to adjectives, verbs to nouns, nouns/adjectives to verbs","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,eer,-eer,person who,"volunteer, engineer",s3e,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Likely French/Latin origin. Functionally similar to -er/-or (Stage 1) and -ist (Stage 2) but has no direct citation. Thematically suits Stage 2–3 range. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,4
suffix,,fy,-fy,make,"clarify, simplify",s3l,medium,Not listed as a standalone suffix in NSW DoE sequence or Australian Curriculum v9. Variant of -ify (Latin -ficare). Thematically suits Stage 3. Teacher judgement required — consider consolidating with -ify entry.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,4
suffix,,ify,-ify,make,"simplify, classify",s3l,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Latin origin (-ficare). Thematically suits Stage 3 alongside -ise and -ate. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,4
suffix,,ific,-ific,making; doing,"scientific, terrific",s3l,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Latin origin. Rare as a productive suffix in modern English; mostly appears in fixed vocabulary. Recommend reviewing whether this belongs in the morpheme curriculum.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,4
suffix,,hood,-hood,state of,"childhood, adulthood",s2e,high,Explicitly listed in Stage 2 as derivational suffix; nouns/adjectives to nouns naming a condition or group,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,4
suffix,,ian,-ian,person connected to,"musician, paediatrician",s2l,high,Explicitly listed in Stage 2 as derivational suffix (-an/-ian/-ean); nouns to adjectives and nouns,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,4
suffix,,ic,-ic,related to,"poetic, rhythmic",s2l,high,Explicitly listed in Stage 2 as derivational suffix; nouns to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,4
suffix,,ive,-ive,having quality of,"massive, reflective",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ive/-ative/-itive); nouns/verbs to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ize,-ize,make,"organize, colonize",s3e,high,"Listed in Stage 3 as -ise (Australian English spelling preferred); makes verbs from nouns (e.g. priority-prioritise, hospital-hospitalise). -ize is the US/UK alternate spelling of the same suffix.","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,like,-like,like; similar to,"lifelike, childlike",s2e,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Anglo-Saxon origin; productive but not cited as a taught morpheme. Thematically suits Stage 1–2 range given its transparency. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,4
suffix,,logy,-logy,study of,"biology, psychology",s3e,high,"Listed in Stage 3 Greek roots as -logy (study of); e.g. biology, psychology","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,4
suffix,,ologist,-ologist,person who studies,"biologist, geologist",s3e,high,"Implicitly covered in Stage 3 via -ist (Stage 2) combined with -logy (Stage 3 Greek roots); NSW DoE notes examples geologist, cyclist under -ist instruction","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2 & Latin & Greek Roots, Stage 3",,4
suffix,,ship,-ship,state or skill,"friendship, leadership",s2e,high,"Explicitly listed in Stage 1 as derivational suffix; nouns to nouns of quality, condition or skill","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1",,4
suffix,,ure,-ure,result of,"sculpture, closure",s2l,high,Explicitly listed in Stage 2 as derivational suffix (-ure/-ture the result of the act; verbs to nouns),"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2",,4
suffix,,age,-age,result of; state of,"blockage, marriage",s3e,high,Explicitly listed in Stage 3 as derivational suffix; verbs/adjectives to nouns and names of places,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ory,-ory,a place of; characterised by,"observatory, sensory",s3e,high,"Explicitly listed in Stage 3 as derivational suffix; verbs to nouns (place/use), verbs/nouns to adjectives","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ary,-ary,relating to; place associated with,"documentary, complementary",s3e,high,Explicitly listed in Stage 3 as derivational suffix; verbs/nouns to nouns and adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ise,-ise,to make; to become,"prioritise, hospitalise",s3e,high,Explicitly listed in Stage 3 as derivational suffix; nouns to verbs (Australian English preferred spelling over -ize),"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ious,-ious,having qualities of,"spacious, infectious",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ious/-eous); nouns to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,eous,-eous,having qualities of,"courteous, gorgeous",s3e,high,Explicitly listed in Stage 3 as derivational suffix (-ious/-eous); nouns to adjectives. NSW DoE notes -ious is more common than -eous.,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ative,-ative,tendency or quality,"creative, talkative",s3e,high,Listed in Stage 3 as variant form of -ive (-ive/-ative/-itive); nouns/verbs to adjectives,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,tion,-tion,act or process of,"education, motion",s3e,high,Explicitly listed in Stage 3 as variant of -ion (-tion/-sion/-ation/-ition/-ssion); more common than -sion,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,sion,-sion,act or process of,"decision, discussion",s3e,high,"Explicitly listed in Stage 3 as variant of -ion; often follows words ending in -d, -de, -se, -t","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,ation,-ation,act or process of,"starvation, education",s3e,high,Explicitly listed in Stage 3 as variant of -ion (-tion/-sion/-ation/-ition/-ssion),"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 3",,4
suffix,,pathy,-pathy,feeling; suffering,"sympathy, telepathy",s4,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Greek combining form (pathos). Primarily appears in medical/science vocabulary. Thematically suits Stage 3–4 alongside other Greek roots content. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,4
base,core,act,act,do,"action, react, active",s2e,medium,"Derivative 'reaction/active' at Stage 2; -ion taught Stage 2, -ive Stage 3 but re- Stage 1. One-syllable base, default s2e.","Derivative reasoning: re- (Stage 1), -ion (Stage 2)",,5
base,core,appear,appear,come into view,"appearance, disappear, reappear",s2l,medium,Two-syllable base. Derivative 'disappear' at Stage 2; dis- taught Stage 2.,Derivative reasoning: dis- (Stage 2),,5
base,core,apply,apply,put to use,"application, reapply, applicable",s2l,medium,Two-syllable base. Derivative 'reapply' at Stage 1 (re-); 'applicable' at Stage 2 (-able Stage 2).,"Derivative reasoning: re- (Stage 1), -able (Stage 2)",,5
base,core,argue,argue,give reasons,"argument, arguable",s2l,medium,Two-syllable base. Derivative 'arguable' at Stage 2; -able taught Stage 2.,Derivative reasoning: -able (Stage 2),,5
base,core,assist,assist,help,"assistance, assistant",s3e,medium,Two-syllable base. Derivatives 'assistance/assistant' at Stage 3; -ance and -ant taught Stage 3.,"Derivative reasoning: -ance, -ant (Stage 3)",,5
base,core,attract,attract,pull towards,"attraction, attractive, unattractive",s2l,medium,Two-syllable base. Derivative 'attraction' at Stage 2; -ion taught Stage 2.,Derivative reasoning: -ion (Stage 2),,5
base,core,behave,behave,act in a way,"behaviour, misbehave",s2l,medium,Two-syllable base. Derivative 'misbehave' at Stage 1 (mis-); 'behaviour' at Stage 2 (-iour variant of -ion/ure).,"Derivative reasoning: mis- (Stage 1), -iour (Stage 2)",,5
base,core,believe,believe,think something is true,"belief, believable, disbelieve",s2l,medium,Two-syllable base. Derivative 'believable' at Stage 2; -able taught Stage 2. 'Disbelieve' at Stage 2 (dis-).,"Derivative reasoning: dis- (Stage 2), -able (Stage 2)",,5
base,core,build,build,make by putting parts together,"builder, rebuild, building",s2e,medium,"One-syllable base, default s2e. Derivative 'rebuild' at Stage 1 (re-); 'builder' at Stage 1 (-er).","Derivative reasoning: re- (Stage 1), -er (Stage 1)",,5
base,core,care,care,look after; attention,"careful, careless, caretaker",s2e,medium,One-syllable base. Derivative 'careful' at Stage 1 (-ful); 'careless' at Stage 2 (-less). Earliest anchor Stage 1 → s2e by rule 2.,"Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,5
base,core,collect,collect,gather together,"collection, collector, recollect",s2e,medium,Two-syllable base. Derivative 'collection' at Stage 2; -ion taught Stage 2. 're-' at Stage 1 also present.,"Derivative reasoning: -ion (Stage 2), re- (Stage 1)",,5
base,core,communicate,communicate,share information,"communication, communicative",s3e,medium,Four-syllable base. Derivative 'communication' at Stage 3 (-ation); 'communicative' at Stage 3 (-ive). No earlier derivatives.,"Derivative reasoning: -ation, -ive (Stage 3)",,5
base,core,connect,connect,join together,"connection, disconnect, connector",s2e,medium,Two-syllable base. Derivative 'disconnect' at Stage 2 (dis-); 'connection' at Stage 2 (-ion).,"Derivative reasoning: dis- (Stage 2), -ion (Stage 2)",,5
base,core,construct,construct,build,"construction, reconstruct, constructive",s2e,medium,Two-syllable base. Derivative 'reconstruct' at Stage 1 (re-); 'construction' at Stage 2 (-ion). Also struct is Stage 2 Latin root.,"Derivative reasoning: re- (Stage 1), -ion (Stage 2)",,5
base,core,create,create,make,"creation, creative, recreate",s2e,medium,Two-syllable base. Derivative 'recreate' at Stage 1 (re-); 'creation' at Stage 2 (-ion).,"Derivative reasoning: re- (Stage 1), -ion (Stage 2)",,5
base,core,decide,decide,choose after thinking,"decision, indecisive",s2l,medium,"Two-syllable base. Derivative 'decision' at Stage 3 (-sion); however 'decide' is two-syllable concrete, default s2l as no earlier anchor.",Derivative reasoning: -sion (Stage 3); defaulting to s2l per rule 3,,5
base,core,develop,develop,grow or improve,"development, developer, redevelop",s2l,medium,Three-syllable base. Derivative 'development' at Stage 2 (-ment); 'redevelop' at Stage 1 (re-). Two-syllable-plus default s2l confirmed by -ment anchor.,"Derivative reasoning: -ment (Stage 2), re- (Stage 1)",,5
base,core,direct,direct,guide; control,"direction, director, indirect",s2l,medium,Two-syllable base. Derivative 'direction' at Stage 2 (-ion); 'indirect' at Stage 2 (in-).,"Derivative reasoning: -ion (Stage 2), in- (Stage 2)",,5
base,core,educate,educate,teach,"education, educator, uneducated",s3e,medium,Three-syllable base. Derivative 'education' at Stage 3 (-ation); 'educator' at Stage 1 (-or) but base complexity warrants s3e.,Derivative reasoning: -ation (Stage 3),,5
